Area Unit,Area Unit Code,Census Year,Measure,Sex,Value,Value Unit,Value Label,Null Reason
Taumarunui Central,Taumarunui Central,2001,Census night population count,Total people,2598,number,Number of people,
Taumarunui Central,Taumarunui Central,2006,Census night population count,Total people,2592,number,Number of people,
Taumarunui Central,Taumarunui Central,2013,Census night population count,Total people,2256,number,Number of people,
Taumarunui Central,Taumarunui Central,2001,Sex for the census usually resident population count,Male,1287,number,Number of people,
Taumarunui Central,Taumarunui Central,2001,Sex for the census usually resident population count,Female,1353,number,Number of people,
Taumarunui Central,Taumarunui Central,2001,Sex for the census usually resident population count,Total people,2640,number,Number of people,
Taumarunui Central,Taumarunui Central,2006,Sex for the census usually resident population count,Male,1269,number,Number of people,
Taumarunui Central,Taumarunui Central,2006,Sex for the census usually resident population count,Female,1353,number,Number of people,
Taumarunui Central,Taumarunui Central,2006,Sex for the census usually resident population count,Total people,2622,number,Number of people,
Taumarunui Central,Taumarunui Central,2013,Sex for the census usually resident population count,Male,1068,number,Number of people,
Taumarunui Central,Taumarunui Central,2013,Sex for the census usually resident population count,Female,1203,number,Number of people,
Taumarunui Central,Taumarunui Central,2013,Sex for the census usually resident population count,Total people,2271,number,Number of people,
Paengaroa,Paengaroa,2006,Census night population count,Total people,906,number,Number of people,
Sunshine-Hospital Hill,Sunshine-Hospital Hill,2001,Census usually resident population count,Total people,561,number,Number of people,
Sunshine-Hospital Hill,Sunshine-Hospital Hill,2006,Census usually resident population count,Total people,564,number,Number of people,
Sunshine-Hospital Hill,Sunshine-Hospital Hill,2013,Census usually resident population count,Total people,531,number,Number of people,
Sunshine-Hospital Hill,Sunshine-Hospital Hill,2001,Census night population count,Total people,549,number,Number of people,
Sunshine-Hospital Hill,Sunshine-Hospital Hill,2006,Census night population count,Total people,567,number,Number of people,
Sunshine-Hospital Hill,Sunshine-Hospital Hill,2013,Census night population count,Total people,516,number,Number of people,
Sunshine-Hospital Hill,Sunshine-Hospital Hill,2001,Sex for the census usually resident population count,Male,285,number,Number of people,
Sunshine-Hospital Hill,Sunshine-Hospital Hill,2001,Sex for the census usually resident population count,Female,279,number,Number of people,
Sunshine-Hospital Hill,Sunshine-Hospital Hill,2001,Sex for the census usually resident population count,Total people,564,number,Number of people,
Sunshine-Hospital Hill,Sunshine-Hospital Hill,2006,Sex for the census usually resident population count,Male,258,number,Number of people,
Sunshine-Hospital Hill,Sunshine-Hospital Hill,2006,Sex for the census usually resident population count,Female,306,number,Number of people,
Sunshine-Hospital Hill,Sunshine-Hospital Hill,2006,Sex for the census usually resident population count,Total people,564,number,Number of people,
Sunshine-Hospital Hill,Sunshine-Hospital Hill,2013,Sex for the census usually resident population count,Male,249,number,Number of people,
Sunshine-Hospital Hill,Sunshine-Hospital Hill,2013,Sex for the census usually resident population count,Female,282,number,Number of people,
Sunshine-Hospital Hill,Sunshine-Hospital Hill,2013,Sex for the census usually resident population count,Total people,531,number,Number of people,
Manunui,Manunui,2001,Census usually resident population count,Total people,588,number,Number of people,
Manunui,Manunui,2006,Census usually resident population count,Total people,558,number,Number of people,
Manunui,Manunui,2013,Census usually resident population count,Total people,546,number,Number of people,
Manunui,Manunui,2001,Census night population count,Total people,594,number,Number of people,
Manunui,Manunui,2006,Census night population count,Total people,558,number,Number of people,
Manunui,Manunui,2013,Census night population count,Total people,564,number,Number of people,
Manunui,Manunui,2001,Sex for the census usually resident population count,Male,306,number,Number of people,
Manunui,Manunui,2001,Sex for the census usually resident population count,Female,282,number,Number of people,
Manunui,Manunui,2001,Sex for the census usually resident population count,Total people,591,number,Number of people,
Manunui,Manunui,2006,Sex for the census usually resident population count,Male,291,number,Number of people,
Manunui,Manunui,2006,Sex for the census usually resident population count,Female,264,number,Number of people,
Manunui,Manunui,2006,Sex for the census usually resident population count,Total people,555,number,Number of people,
Manunui,Manunui,2013,Sex for the census usually resident population count,Male,267,number,Number of people,
Manunui,Manunui,2013,Sex for the census usually resident population count,Female,282,number,Number of people,
Manunui,Manunui,2013,Sex for the census usually resident population count,Total people,546,number,Number of people,
Whitianga,Whitianga,2001,Census usually resident population count,Total people,3078,number,Number of people,
Whitianga,Whitianga,2006,Census usually resident population count,Total people,3768,number,Number of people,
Whitianga,Whitianga,2013,Census usually resident population count,Total people,4368,number,Number of people,
Whitianga,Whitianga,2001,Census night population count,Total people,3630,number,Number of people,
Whitianga,Whitianga,2006,Census night population count,Total people,4293,number,Number of people,
Whitianga,Whitianga,2013,Census night population count,Total people,4899,number,Number of people,
Whitianga,Whitianga,2001,Sex for the census usually resident population count,Male,1530,number,Number of people,
Whitianga,Whitianga,2001,Sex for the census usually resident population count,Female,1551,number,Number of people,
Whitianga,Whitianga,2001,Sex for the census usually resident population count,Total people,3078,number,Number of people,
Whitianga,Whitianga,2006,Sex for the census usually resident population count,Male,1887,number,Number of people,
Whitianga,Whitianga,2006,Sex for the census usually resident population count,Female,1881,number,Number of people,
Whitianga,Whitianga,2006,Sex for the census usually resident population count,Total people,3765,number,Number of people,
Whitianga,Whitianga,2013,Sex for the census usually resident population count,Male,2100,number,Number of people,
Whitianga,Whitianga,2013,Sex for the census usually resident population count,Female,2271,number,Number of people,
Whitianga,Whitianga,2013,Sex for the census usually resident population count,Total people,4368,number,Number of people,
Coromandel,Coromandel,2001,Census usually resident population count,Total people,1437,number,Number of people,
Coromandel,Coromandel,2006,Census usually resident population count,Total people,1476,number,Number of people,
Coromandel,Coromandel,2013,Census usually resident population count,Total people,1503,number,Number of people,
Coromandel,Coromandel,2001,Census night population count,Total people,1623,number,Number of people,
Coromandel,Coromandel,2006,Census night population count,Total people,1755,number,Number of people,
Coromandel,Coromandel,2013,Census night population count,Total people,1845,number,Number of people,
Coromandel,Coromandel,2001,Sex for the census usually resident population count,Male,711,number,Number of people,
Coromandel,Coromandel,2001,Sex for the census usually resident population count,Female,726,number,Number of people,
Coromandel,Coromandel,2001,Sex for the census usually resident population count,Total people,1437,number,Number of people,
Coromandel,Coromandel,2006,Sex for the census usually resident population count,Male,720,number,Number of people,
Coromandel,Coromandel,2006,Sex for the census usually resident population count,Female,756,number,Number of people,
Coromandel,Coromandel,2006,Sex for the census usually resident population count,Total people,1473,number,Number of people,
Coromandel,Coromandel,2013,Sex for the census usually resident population count,Male,747,number,Number of people,
Coromandel,Coromandel,2013,Sex for the census usually resident population count,Female,756,number,Number of people,
Coromandel,Coromandel,2013,Sex for the census usually resident population count,Total people,1503,number,Number of people,
Te Rerenga,Te Rerenga,2001,Census usually resident population count,Total people,3786,number,Number of people,
Te Rerenga,Te Rerenga,2006,Census usually resident population count,Total people,4170,number,Number of people,
Te Rerenga,Te Rerenga,2013,Census usually resident population count,Total people,4107,number,Number of people,
Te Rerenga,Te Rerenga,2001,Census night population count,Total people,4854,number,Number of people,
Te Rerenga,Te Rerenga,2006,Census night population count,Total people,5166,number,Number of people,
Te Rerenga,Te Rerenga,2013,Census night population count,Total people,5370,number,Number of people,
Te Rerenga,Te Rerenga,2001,Sex for the census usually resident population count,Male,1935,number,Number of people,
Te Rerenga,Te Rerenga,2001,Sex for the census usually resident population count,Female,1854,number,Number of people,
Te Rerenga,Te Rerenga,2001,Sex for the census usually resident population count,Total people,3786,number,Number of people,
Te Rerenga,Te Rerenga,2006,Sex for the census usually resident population count,Male,2109,number,Number of people,
Te Rerenga,Te Rerenga,2006,Sex for the census usually resident population count,Female,2061,number,Number of people,
Te Rerenga,Te Rerenga,2006,Sex for the census usually resident population count,Total people,4173,number,Number of people,
Te Rerenga,Te Rerenga,2013,Sex for the census usually resident population count,Male,2067,number,Number of people,
Te Rerenga,Te Rerenga,2013,Sex for the census usually resident population count,Female,2040,number,Number of people,
Te Rerenga,Te Rerenga,2013,Sex for the census usually resident population count,Total people,4107,number,Number of people,
Whangamata,Whangamata,2001,Census usually resident population count,Total people,3963,number,Number of people,
Whangamata,Whangamata,2006,Census usually resident population count,Total people,3555,number,Number of people,
Whangamata,Whangamata,2013,Census usually resident population count,Total people,3471,number,Number of people,
Whangamata,Whangamata,2001,Census night population count,Total people,4227,number,Number of people,
Whangamata,Whangamata,2006,Census night population count,Total people,3825,number,Number of people,
Whangamata,Whangamata,2013,Census night population count,Total people,3819,number,Number of people,
Whangamata,Whangamata,2001,Sex for the census usually resident population count,Male,1896,number,Number of people,
Whangamata,Whangamata,2001,Sex for the census usually resident population count,Female,2067,number,Number of people,
Whangamata,Whangamata,2001,Sex for the census usually resident population count,Total people,3963,number,Number of people,
Whangamata,Whangamata,2006,Sex for the census usually resident population count,Male,1740,number,Number of people,
Whangamata,Whangamata,2006,Sex for the census usually resident population count,Female,1815,number,Number of people,
Whangamata,Whangamata,2006,Sex for the census usually resident population count,Total people,3555,number,Number of people,
Whangamata,Whangamata,2013,Sex for the census usually resident population count,Male,1662,number,Number of people,
Whangamata,Whangamata,2013,Sex for the census usually resident population count,Female,1812,number,Number of people,
Whangamata,Whangamata,2013,Sex for the census usually resident population count,Total people,3471,number,Number of people,
Tairua,Tairua,2001,Census usually resident population count,Total people,1461,number,Number of people,
Tairua,Tairua,2006,Census usually resident population count,Total people,1269,number,Number of people,
Tairua,Tairua,2013,Census usually resident population count,Total people,1227,number,Number of people,
Tairua,Tairua,2001,Census night population count,Total people,1572,number,Number of people,
Tairua,Tairua,2006,Census night population count,Total people,1371,number,Number of people,
Tairua,Tairua,2013,Census night population count,Total people,1392,number,Number of people,
Tairua,Tairua,2001,Sex for the census usually resident population count,Male,717,number,Number of people,
Tairua,Tairua,2001,Sex for the census usually resident population count,Female,744,number,Number of people,
Tairua,Tairua,2001,Sex for the census usually resident population count,Total people,1461,number,Number of people,
Tairua,Tairua,2006,Sex for the census usually resident population count,Male,636,number,Number of people,
Tairua,Tairua,2006,Sex for the census usually resident population count,Female,630,number,Number of people,
Tairua,Tairua,2006,Sex for the census usually resident population count,Total people,1266,number,Number of people,
Tairua,Tairua,2013,Sex for the census usually resident population count,Male,621,number,Number of people,
Tairua,Tairua,2013,Sex for the census usually resident population count,Female,609,number,Number of people,
Tairua,Tairua,2013,Sex for the census usually resident population count,Total people,1227,number,Number of people,
Moanataiari,Moanataiari,2001,Census usually resident population count,Total people,2502,number,Number of people,
Moanataiari,Moanataiari,2006,Census usually resident population count,Total people,2472,number,Number of people,
Moanataiari,Moanataiari,2013,Census usually resident population count,Total people,2424,number,Number of people,
Moanataiari,Moanataiari,2001,Census night population count,Total people,2619,number,Number of people,
Moanataiari,Moanataiari,2006,Census night population count,Total people,2634,number,Number of people,
Moanataiari,Moanataiari,2013,Census night population count,Total people,2508,number,Number of people,
Moanataiari,Moanataiari,2001,Sex for the census usually resident population count,Male,1161,number,Number of people,
Moanataiari,Moanataiari,2001,Sex for the census usually resident population count,Female,1341,number,Number of people,
Moanataiari,Moanataiari,2001,Sex for the census usually resident population count,Total people,2502,number,Number of people,
Moanataiari,Moanataiari,2006,Sex for the census usually resident population count,Male,1155,number,Number of people,
Moanataiari,Moanataiari,2006,Sex for the census usually resident population count,Female,1317,number,Number of people,
Moanataiari,Moanataiari,2006,Sex for the census usually resident population count,Total people,2472,number,Number of people,
Moanataiari,Moanataiari,2013,Sex for the census usually resident population count,Male,1110,number,Number of people,
Moanataiari,Moanataiari,2013,Sex for the census usually resident population count,Female,1314,number,Number of people,
Moanataiari,Moanataiari,2013,Sex for the census usually resident population count,Total people,2424,number,Number of people,
Parawai,Parawai,2001,Census usually resident population count,Total people,4203,number,Number of people,
Parawai,Parawai,2006,Census usually resident population count,Total people,4281,number,Number of people,
Parawai,Parawai,2013,Census usually resident population count,Total people,4269,number,Number of people,
Parawai,Parawai,2001,Census night population count,Total people,4131,number,Number of people,
Parawai,Parawai,2006,Census night population count,Total people,4305,number,Number of people,
Parawai,Parawai,2013,Census night population count,Total people,4299,number,Number of people,
Parawai,Parawai,2001,Sex for the census usually resident population count,Male,1998,number,Number of people,
Parawai,Parawai,2001,Sex for the census usually resident population count,Female,2202,number,Number of people,
Parawai,Parawai,2001,Sex for the census usually resident population count,Total people,4200,number,Number of people,
Parawai,Parawai,2006,Sex for the census usually resident population count,Male,2013,number,Number of people,
Parawai,Parawai,2006,Sex for the census usually resident population count,Female,2268,number,Number of people,
Parawai,Parawai,2006,Sex for the census usually resident population count,Total people,4281,number,Number of people,
Parawai,Parawai,2013,Sex for the census usually resident population count,Male,1977,number,Number of people,
Parawai,Parawai,2013,Sex for the census usually resident population count,Female,2292,number,Number of people,
Parawai,Parawai,2013,Sex for the census usually resident population count,Total people,4269,number,Number of people,
Pauanui Beach,Pauanui Beach,2001,Census usually resident population count,Total people,702,number,Number of people,
Pauanui Beach,Pauanui Beach,2006,Census usually resident population count,Total people,741,number,Number of people,
Pauanui Beach,Pauanui Beach,2013,Census usually resident population count,Total people,753,number,Number of people,
Pauanui Beach,Pauanui Beach,2001,Census night population count,Total people,966,number,Number of people,
Pauanui Beach,Pauanui Beach,2006,Census night population count,Total people,1002,number,Number of people,
Pauanui Beach,Pauanui Beach,2013,Census night population count,Total people,876,number,Number of people,
Pauanui Beach,Pauanui Beach,2001,Sex for the census usually resident population count,Male,342,number,Number of people,
Pauanui Beach,Pauanui Beach,2001,Sex for the census usually resident population count,Female,357,number,Number of people,
Pauanui Beach,Pauanui Beach,2001,Sex for the census usually resident population count,Total people,702,number,Number of people,
Pauanui Beach,Pauanui Beach,2006,Sex for the census usually resident population count,Male,369,number,Number of people,
Pauanui Beach,Pauanui Beach,2006,Sex for the census usually resident population count,Female,372,number,Number of people,
Pauanui Beach,Pauanui Beach,2006,Sex for the census usually resident population count,Total people,741,number,Number of people,
Pauanui Beach,Pauanui Beach,2013,Sex for the census usually resident population count,Male,372,number,Number of people,
Pauanui Beach,Pauanui Beach,2013,Sex for the census usually resident population count,Female,378,number,Number of people,
Pauanui Beach,Pauanui Beach,2013,Sex for the census usually resident population count,Total people,753,number,Number of people,
Hikuai,Hikuai,2001,Census usually resident population count,Total people,3078,number,Number of people,
Hikuai,Hikuai,2006,Census usually resident population count,Total people,3252,number,Number of people,
Hikuai,Hikuai,2013,Census usually resident population count,Total people,3198,number,Number of people,
Hikuai,Hikuai,2001,Census night population count,Total people,3366,number,Number of people,
Hikuai,Hikuai,2006,Census night population count,Total people,3753,number,Number of people,
Hikuai,Hikuai,2013,Census night population count,Total people,3495,number,Number of people,
Hikuai,Hikuai,2001,Sex for the census usually resident population count,Male,1593,number,Number of people,
Hikuai,Hikuai,2001,Sex for the census usually resident population count,Female,1488,number,Number of people,
Hikuai,Hikuai,2001,Sex for the census usually resident population count,Total people,3081,number,Number of people,
Hikuai,Hikuai,2006,Sex for the census usually resident population count,Male,1656,number,Number of people,
Hikuai,Hikuai,2006,Sex for the census usually resident population count,Female,1596,number,Number of people,
Hikuai,Hikuai,2006,Sex for the census usually resident population count,Total people,3252,number,Number of people,
Hikuai,Hikuai,2013,Sex for the census usually resident population count,Male,1599,number,Number of people,
Hikuai,Hikuai,2013,Sex for the census usually resident population count,Female,1596,number,Number of people,
Hikuai,Hikuai,2013,Sex for the census usually resident population count,Total people,3198,number,Number of people,
Te Puru-Thornton Bay,Te Puru-Thornton Bay,2001,Census usually resident population count,Total people,951,number,Number of people,
Te Puru-Thornton Bay,Te Puru-Thornton Bay,2006,Census usually resident population count,Total people,942,number,Number of people,
Te Puru-Thornton Bay,Te Puru-Thornton Bay,2013,Census usually resident population count,Total people,846,number,Number of people,
Te Puru-Thornton Bay,Te Puru-Thornton Bay,2001,Census night population count,Total people,948,number,Number of people,
Te Puru-Thornton Bay,Te Puru-Thornton Bay,2006,Census night population count,Total people,954,number,Number of people,
Te Puru-Thornton Bay,Te Puru-Thornton Bay,2013,Census night population count,Total people,852,number,Number of people,
Te Puru-Thornton Bay,Te Puru-Thornton Bay,2001,Sex for the census usually resident population count,Male,456,number,Number of people,
Te Puru-Thornton Bay,Te Puru-Thornton Bay,2001,Sex for the census usually resident population count,Female,498,number,Number of people,
Te Puru-Thornton Bay,Te Puru-Thornton Bay,2001,Sex for the census usually resident population count,Total people,954,number,Number of people,
Te Puru-Thornton Bay,Te Puru-Thornton Bay,2006,Sex for the census usually resident population count,Male,453,number,Number of people,
Te Puru-Thornton Bay,Te Puru-Thornton Bay,2006,Sex for the census usually resident population count,Female,486,number,Number of people,
Te Puru-Thornton Bay,Te Puru-Thornton Bay,2006,Sex for the census usually resident population count,Total people,942,number,Number of people,
Te Puru-Thornton Bay,Te Puru-Thornton Bay,2013,Sex for the census usually resident population count,Male,420,number,Number of people,
Te Puru-Thornton Bay,Te Puru-Thornton Bay,2013,Sex for the census usually resident population count,Female,426,number,Number of people,
Te Puru-Thornton Bay,Te Puru-Thornton Bay,2013,Sex for the census usually resident population count,Total people,846,number,Number of people,
Ngatea,Ngatea,2001,Census usually resident population count,Total people,1074,number,Number of people,
Ngatea,Ngatea,2006,Census usually resident population count,Total people,1164,number,Number of people,
Ngatea,Ngatea,2013,Census usually resident population count,Total people,1245,number,Number of people,
Ngatea,Ngatea,2001,Census night population count,Total people,1005,number,Number of people,
Ngatea,Ngatea,2006,Census night population count,Total people,1131,number,Number of people,
Ngatea,Ngatea,2013,Census night population count,Total people,1227,number,Number of people,
Ngatea,Ngatea,2001,Sex for the census usually resident population count,Male,501,number,Number of people,
Ngatea,Ngatea,2001,Sex for the census usually resident population count,Female,570,number,Number of people,
Ngatea,Ngatea,2001,Sex for the census usually resident population count,Total people,1074,number,Number of people,
Ngatea,Ngatea,2006,Sex for the census usually resident population count,Male,564,number,Number of people,
Ngatea,Ngatea,2006,Sex for the census usually resident population count,Female,603,number,Number of people,
Ngatea,Ngatea,2006,Sex for the census usually resident population count,Total people,1164,number,Number of people,
Ngatea,Ngatea,2013,Sex for the census usually resident population count,Male,579,number,Number of people,
Ngatea,Ngatea,2013,Sex for the census usually resident population count,Female,666,number,Number of people,
Ngatea,Ngatea,2013,Sex for the census usually resident population count,Total people,1245,number,Number of people,
Hauraki Plains,Hauraki Plains,2001,Census usually resident population count,Total people,2424,number,Number of people,
Hauraki Plains,Hauraki Plains,2006,Census usually resident population count,Total people,2544,number,Number of people,
Hauraki Plains,Hauraki Plains,2013,Census usually resident population count,Total people,2508,number,Number of people,
Hauraki Plains,Hauraki Plains,2001,Census night population count,Total people,2478,number,Number of people,
Hauraki Plains,Hauraki Plains,2006,Census night population count,Total people,2595,number,Number of people,
Hauraki Plains,Hauraki Plains,2013,Census night population count,Total people,2532,number,Number of people,
Hauraki Plains,Hauraki Plains,2001,Sex for the census usually resident population count,Male,1278,number,Number of people,
Hauraki Plains,Hauraki Plains,2001,Sex for the census usually resident population count,Female,1149,number,Number of people,
Hauraki Plains,Hauraki Plains,2001,Sex for the census usually resident population count,Total people,2424,number,Number of people,
Hauraki Plains,Hauraki Plains,2006,Sex for the census usually resident population count,Male,1320,number,Number of people,
Hauraki Plains,Hauraki Plains,2006,Sex for the census usually resident population count,Female,1221,number,Number of people,
Hauraki Plains,Hauraki Plains,2006,Sex for the census usually resident population count,Total people,2541,number,Number of people,
Hauraki Plains,Hauraki Plains,2013,Sex for the census usually resident population count,Male,1242,number,Number of people,
Hauraki Plains,Hauraki Plains,2013,Sex for the census usually resident population count,Female,1266,number,Number of people,
Hauraki Plains,Hauraki Plains,2013,Sex for the census usually resident population count,Total people,2508,number,Number of people,
Turua,Turua,2001,Census usually resident population count,Total people,1320,number,Number of people,
Turua,Turua,2006,Census usually resident population count,Total people,1338,number,Number of people,
Turua,Turua,2013,Census usually resident population count,Total people,1317,number,Number of people,
Turua,Turua,2001,Census night population count,Total people,1278,number,Number of people,
Turua,Turua,2006,Census night population count,Total people,1311,number,Number of people,
Turua,Turua,2013,Census night population count,Total people,1293,number,Number of people,
Turua,Turua,2001,Sex for the census usually resident population count,Male,678,number,Number of people,
Turua,Turua,2001,Sex for the census usually resident population count,Female,639,number,Number of people,
Turua,Turua,2001,Sex for the census usually resident population count,Total people,1320,number,Number of people,
Turua,Turua,2006,Sex for the census usually resident population count,Male,687,number,Number of people,
Turua,Turua,2006,Sex for the census usually resident population count,Female,651,number,Number of people,
Turua,Turua,2006,Sex for the census usually resident population count,Total people,1338,number,Number of people,
Turua,Turua,2013,Sex for the census usually resident population count,Male,675,number,Number of people,
Turua,Turua,2013,Sex for the census usually resident population count,Female,642,number,Number of people,
Turua,Turua,2013,Sex for the census usually resident population count,Total people,1317,number,Number of people,
Kerepehi,Kerepehi,2001,Census usually resident population count,Total people,501,number,Number of people,
Kerepehi,Kerepehi,2006,Census usually resident population count,Total people,513,number,Number of people,
Kerepehi,Kerepehi,2013,Census usually resident population count,Total people,429,number,Number of people,
Kerepehi,Kerepehi,2001,Census night population count,Total people,501,number,Number of people,
Kerepehi,Kerepehi,2006,Census night population count,Total people,510,number,Number of people,
Kerepehi,Kerepehi,2013,Census night population count,Total people,417,number,Number of people,
Kerepehi,Kerepehi,2001,Sex for the census usually resident population count,Male,252,number,Number of people,
Kerepehi,Kerepehi,2001,Sex for the census usually resident population count,Female,246,number,Number of people,
Kerepehi,Kerepehi,2001,Sex for the census usually resident population count,Total people,501,number,Number of people,
Kerepehi,Kerepehi,2006,Sex for the census usually resident population count,Male,264,number,Number of people,
Kerepehi,Kerepehi,2006,Sex for the census usually resident population count,Female,249,number,Number of people,
Kerepehi,Kerepehi,2006,Sex for the census usually resident population count,Total people,513,number,Number of people,
Kerepehi,Kerepehi,2013,Sex for the census usually resident population count,Male,228,number,Number of people,
Kerepehi,Kerepehi,2013,Sex for the census usually resident population count,Female,201,number,Number of people,
Kerepehi,Kerepehi,2013,Sex for the census usually resident population count,Total people,429,number,Number of people,
Waihi Beach,Waihi Beach,2001,Census usually resident population count,Total people,1908,number,Number of people,
Waihi Beach,Waihi Beach,2006,Census usually resident population count,Total people,1776,number,Number of people,
Waihi Beach,Waihi Beach,2013,Census usually resident population count,Total people,1935,number,Number of people,
Waihi Beach,Waihi Beach,2001,Census night population count,Total people,2145,number,Number of people,
Waihi Beach,Waihi Beach,2006,Census night population count,Total people,2085,number,Number of people,
Waihi Beach,Waihi Beach,2013,Census night population count,Total people,2043,number,Number of people,
Waihi Beach,Waihi Beach,2001,Sex for the census usually resident population count,Male,924,number,Number of people,
Waihi Beach,Waihi Beach,2001,Sex for the census usually resident population count,Female,987,number,Number of people,
Waihi Beach,Waihi Beach,2001,Sex for the census usually resident population count,Total people,1908,number,Number of people,
Waihi Beach,Waihi Beach,2006,Sex for the census usually resident population count,Male,879,number,Number of people,
Waihi Beach,Waihi Beach,2006,Sex for the census usually resident population count,Female,897,number,Number of people,
Waihi Beach,Waihi Beach,2006,Sex for the census usually resident population count,Total people,1776,number,Number of people,
Waihi Beach,Waihi Beach,2013,Sex for the census usually resident population count,Male,954,number,Number of people,
Waihi Beach,Waihi Beach,2013,Sex for the census usually resident population count,Female,984,number,Number of people,
Waihi Beach,Waihi Beach,2013,Sex for the census usually resident population count,Total people,1935,number,Number of people,
Ohinemuri,Ohinemuri,2001,Census usually resident population count,Total people,3045,number,Number of people,
Ohinemuri,Ohinemuri,2006,Census usually resident population count,Total people,3159,number,Number of people,
Ohinemuri,Ohinemuri,2013,Census usually resident population count,Total people,3111,number,Number of people,
Ohinemuri,Ohinemuri,2001,Census night population count,Total people,3126,number,Number of people,
Ohinemuri,Ohinemuri,2006,Census night population count,Total people,3195,number,Number of people,
Ohinemuri,Ohinemuri,2013,Census night population count,Total people,3120,number,Number of people,
Ohinemuri,Ohinemuri,2001,Sex for the census usually resident population count,Male,1572,number,Number of people,
Ohinemuri,Ohinemuri,2001,Sex for the census usually resident population count,Female,1470,number,Number of people,
Ohinemuri,Ohinemuri,2001,Sex for the census usually resident population count,Total people,3042,number,Number of people,
Ohinemuri,Ohinemuri,2006,Sex for the census usually resident population count,Male,1632,number,Number of people,
Ohinemuri,Ohinemuri,2006,Sex for the census usually resident population count,Female,1524,number,Number of people,
Ohinemuri,Ohinemuri,2006,Sex for the census usually resident population count,Total people,3159,number,Number of people,
Ohinemuri,Ohinemuri,2013,Sex for the census usually resident population count,Male,1572,number,Number of people,
Ohinemuri,Ohinemuri,2013,Sex for the census usually resident population count,Female,1539,number,Number of people,
Ohinemuri,Ohinemuri,2013,Sex for the census usually resident population count,Total people,3111,number,Number of people,
Paeroa,Paeroa,2001,Census usually resident population count,Total people,3879,number,Number of people,
Paeroa,Paeroa,2006,Census usually resident population count,Total people,3978,number,Number of people,
Paeroa,Paeroa,2013,Census usually resident population count,Total people,3885,number,Number of people,
Paeroa,Paeroa,2001,Census night population count,Total people,3843,number,Number of people,
Paeroa,Paeroa,2006,Census night population count,Total people,3936,number,Number of people,
Paeroa,Paeroa,2013,Census night population count,Total people,3828,number,Number of people,
Paeroa,Paeroa,2001,Sex for the census usually resident population count,Male,1857,number,Number of people,
Paeroa,Paeroa,2001,Sex for the census usually resident population count,Female,2025,number,Number of people,
Paeroa,Paeroa,2001,Sex for the census usually resident population count,Total people,3882,number,Number of people,
Paeroa,Paeroa,2006,Sex for the census usually resident population count,Male,1893,number,Number of people,
Paeroa,Paeroa,2006,Sex for the census usually resident population count,Female,2082,number,Number of people,
Paengaroa,Paengaroa,2013,Census night population count,Total people,912,number,Number of people,
Paeroa,Paeroa,2006,Sex for the census usually resident population count,Total people,3975,number,Number of people,
Paeroa,Paeroa,2013,Sex for the census usually resident population count,Male,1836,number,Number of people,
Paeroa,Paeroa,2013,Sex for the census usually resident population count,Female,2049,number,Number of people,
Paeroa,Paeroa,2013,Sex for the census usually resident population count,Total people,3885,number,Number of people,
Waihi,Waihi,2001,Census usually resident population count,Total people,4524,number,Number of people,
Waihi,Waihi,2006,Census usually resident population count,Total people,4500,number,Number of people,
Waihi,Waihi,2013,Census usually resident population count,Total people,4527,number,Number of people,
Waihi,Waihi,2001,Census night population count,Total people,4431,number,Number of people,
Waihi,Waihi,2006,Census night population count,Total people,4479,number,Number of people,
Waihi,Waihi,2013,Census night population count,Total people,4527,number,Number of people,
Waihi,Waihi,2001,Sex for the census usually resident population count,Male,2181,number,Number of people,
Waihi,Waihi,2001,Sex for the census usually resident population count,Female,2343,number,Number of people,
Waihi,Waihi,2001,Sex for the census usually resident population count,Total people,4524,number,Number of people,
Waihi,Waihi,2006,Sex for the census usually resident population count,Male,2157,number,Number of people,
Waihi,Waihi,2006,Sex for the census usually resident population count,Female,2346,number,Number of people,
Waihi,Waihi,2006,Sex for the census usually resident population count,Total people,4500,number,Number of people,
Waihi,Waihi,2013,Sex for the census usually resident population count,Male,2115,number,Number of people,
Waihi,Waihi,2013,Sex for the census usually resident population count,Female,2412,number,Number of people,
Waihi,Waihi,2013,Sex for the census usually resident population count,Total people,4527,number,Number of people,
Tahuroa,Tahuroa,2001,Census usually resident population count,Total people,2499,number,Number of people,
Tahuroa,Tahuroa,2006,Census usually resident population count,Total people,2529,number,Number of people,
Tahuroa,Tahuroa,2013,Census usually resident population count,Total people,2652,number,Number of people,
Tahuroa,Tahuroa,2001,Census night population count,Total people,2496,number,Number of people,
Tahuroa,Tahuroa,2006,Census night population count,Total people,2487,number,Number of people,
Tahuroa,Tahuroa,2013,Census night population count,Total people,2625,number,Number of people,
Tahuroa,Tahuroa,2001,Sex for the census usually resident population count,Male,1248,number,Number of people,
Tahuroa,Tahuroa,2001,Sex for the census usually resident population count,Female,1251,number,Number of people,
Tahuroa,Tahuroa,2001,Sex for the census usually resident population count,Total people,2496,number,Number of people,
Tahuroa,Tahuroa,2006,Sex for the census usually resident population count,Male,1230,number,Number of people,
Tahuroa,Tahuroa,2006,Sex for the census usually resident population count,Female,1299,number,Number of people,
Tahuroa,Tahuroa,2006,Sex for the census usually resident population count,Total people,2529,number,Number of people,
Tahuroa,Tahuroa,2013,Sex for the census usually resident population count,Male,1350,number,Number of people,
